1648366748 total:        0.02 Mb/s In     0.07 Mb/s Out -     28.0 p/s In      81.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       2.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       3.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       4.0 p/s Out
1648366753 total:       13.55 Mb/s In    11.90 Mb/s Out -   1975.0 p/s In    1765.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     22.0 p/s In      22.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     1.89 Mb/s In     0.06 Mb/s Out -    165.0 p/s In     104.0 p/s Out
  s1-eth2:     4.70 Mb/s In     0.16 Mb/s Out -    399.0 p/s In     268.0 p/s Out
  s1-eth3:     6.45 Mb/s In     0.23 Mb/s Out -    546.0 p/s In     384.0 p/s Out
  s1-eth4:     0.06 Mb/s In     1.57 Mb/s Out -    108.0 p/s In     142.0 p/s Out
  s1-eth5:     0.17 Mb/s In     4.07 Mb/s Out -    295.0 p/s In     350.0 p/s Out
  s1-eth6:     0.26 Mb/s In     5.79 Mb/s Out -    440.0 p/s In     495.0 p/s Out
1648366754 total:       21.42 Mb/s In    19.51 Mb/s Out -   3133.0 p/s In    2910.0 p/s Out
    ens4:     0.01 Mb/s In     0.44 Mb/s Out -      7.0 p/s In     131.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     6.84 Mb/s In     0.24 Mb/s Out -    577.0 p/s In     408.0 p/s Out
  s1-eth2:     7.03 Mb/s In     0.25 Mb/s Out -    593.0 p/s In     414.0 p/s Out
  s1-eth3:     6.72 Mb/s In     0.24 Mb/s Out -    567.0 p/s In     410.0 p/s Out
  s1-eth4:     0.27 Mb/s In     6.13 Mb/s Out -    464.0 p/s In     517.0 p/s Out
  s1-eth5:     0.28 Mb/s In     6.24 Mb/s Out -    467.0 p/s In     526.0 p/s Out
  s1-eth6:     0.27 Mb/s In     5.98 Mb/s Out -    458.0 p/s In     504.0 p/s Out
1648366755 total:       23.04 Mb/s In    21.10 Mb/s Out -   3397.0 p/s In    3096.0 p/s Out
    ens4:     0.00 Mb/s In     0.01 Mb/s Out -      6.0 p/s In       6.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     6.72 Mb/s In     0.25 Mb/s Out -    567.0 p/s In     424.0 p/s Out
  s1-eth2:     6.95 Mb/s In     0.25 Mb/s Out -    586.0 p/s In     428.0 p/s Out
  s1-eth3:     8.47 Mb/s In     0.31 Mb/s Out -    714.0 p/s In     528.0 p/s Out
  s1-eth4:     0.28 Mb/s In     6.07 Mb/s Out -    466.0 p/s In     512.0 p/s Out
  s1-eth5:     0.28 Mb/s In     6.41 Mb/s Out -    474.0 p/s In     541.0 p/s Out
  s1-eth6:     0.35 Mb/s In     7.79 Mb/s Out -    584.0 p/s In     657.0 p/s Out
1648366756 total:       24.20 Mb/s In    21.64 Mb/s Out -   3580.0 p/s In    3199.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     20.0 p/s In      25.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.82 Mb/s In     0.28 Mb/s Out -    660.0 p/s In     481.0 p/s Out
  s1-eth2:     7.42 Mb/s In     0.27 Mb/s Out -    626.0 p/s In     452.0 p/s Out
  s1-eth3:     7.99 Mb/s In     0.29 Mb/s Out -    674.0 p/s In     489.0 p/s Out
  s1-eth4:     0.32 Mb/s In     7.10 Mb/s Out -    546.0 p/s In     599.0 p/s Out
  s1-eth5:     0.30 Mb/s In     6.65 Mb/s Out -    507.0 p/s In     561.0 p/s Out
  s1-eth6:     0.32 Mb/s In     7.02 Mb/s Out -    547.0 p/s In     592.0 p/s Out
1648366757 total:       21.42 Mb/s In    19.18 Mb/s Out -   3157.0 p/s In    2821.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In       8.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.66 Mb/s In     0.27 Mb/s Out -    646.0 p/s In     460.0 p/s Out
  s1-eth2:     6.65 Mb/s In     0.24 Mb/s Out -    561.0 p/s In     412.0 p/s Out
  s1-eth3:     6.27 Mb/s In     0.23 Mb/s Out -    529.0 p/s In     387.0 p/s Out
  s1-eth4:     0.31 Mb/s In     6.83 Mb/s Out -    522.0 p/s In     576.0 p/s Out
  s1-eth5:     0.28 Mb/s In     6.02 Mb/s Out -    465.0 p/s In     508.0 p/s Out
  s1-eth6:     0.25 Mb/s In     5.57 Mb/s Out -    426.0 p/s In     470.0 p/s Out
1648366758 total:       18.00 Mb/s In    15.98 Mb/s Out -   2638.0 p/s In    2329.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     5.66 Mb/s In     0.20 Mb/s Out -    478.0 p/s In     334.0 p/s Out
  s1-eth2:     5.64 Mb/s In     0.19 Mb/s Out -    477.0 p/s In     323.0 p/s Out
  s1-eth3:     6.00 Mb/s In     0.22 Mb/s Out -    507.0 p/s In     364.0 p/s Out
  s1-eth4:     0.23 Mb/s In     4.93 Mb/s Out -    383.0 p/s In     417.0 p/s Out
  s1-eth5:     0.22 Mb/s In     4.97 Mb/s Out -    369.0 p/s In     419.0 p/s Out
  s1-eth6:     0.25 Mb/s In     5.47 Mb/s Out -    415.0 p/s In     462.0 p/s Out
1648366759 total:       22.34 Mb/s In    19.82 Mb/s Out -   3267.0 p/s In    2927.0 p/s Out
    ens4:     0.00 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       6.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     6.51 Mb/s In     0.23 Mb/s Out -    549.0 p/s In     392.0 p/s Out
  s1-eth2:     8.10 Mb/s In     0.30 Mb/s Out -    684.0 p/s In     508.0 p/s Out
  s1-eth3:     6.88 Mb/s In     0.25 Mb/s Out -    580.0 p/s In     414.0 p/s Out
  s1-eth4:     0.25 Mb/s In     5.57 Mb/s Out -    426.0 p/s In     470.0 p/s Out
  s1-eth5:     0.33 Mb/s In     7.33 Mb/s Out -    557.0 p/s In     619.0 p/s Out
  s1-eth6:     0.27 Mb/s In     6.14 Mb/s Out -    464.0 p/s In     518.0 p/s Out
1648366760 total:       21.25 Mb/s In    20.30 Mb/s Out -   3138.0 p/s In    3158.0 p/s Out
    ens4:     0.01 Mb/s In     1.13 Mb/s Out -     14.0 p/s In     332.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.48 Mb/s In     0.28 Mb/s Out -    631.0 p/s In     469.0 p/s Out
  s1-eth2:     6.13 Mb/s In     0.22 Mb/s Out -    518.0 p/s In     377.0 p/s Out
  s1-eth3:     6.79 Mb/s In     0.25 Mb/s Out -    574.0 p/s In     416.0 p/s Out
  s1-eth4:     0.30 Mb/s In     6.80 Mb/s Out -    512.0 p/s In     576.0 p/s Out
  s1-eth5:     0.25 Mb/s In     5.60 Mb/s Out -    426.0 p/s In     476.0 p/s Out
  s1-eth6:     0.27 Mb/s In     6.03 Mb/s Out -    463.0 p/s In     512.0 p/s Out
1648366761 total:       22.51 Mb/s In    20.36 Mb/s Out -   3336.0 p/s In    3004.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     18.0 p/s In      24.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.75 Mb/s In     0.28 Mb/s Out -    655.0 p/s In     469.0 p/s Out
  s1-eth2:     6.64 Mb/s In     0.24 Mb/s Out -    560.0 p/s In     402.0 p/s Out
  s1-eth3:     7.22 Mb/s In     0.27 Mb/s Out -    609.0 p/s In     457.0 p/s Out
  s1-eth4:     0.32 Mb/s In     6.96 Mb/s Out -    536.0 p/s In     588.0 p/s Out
  s1-eth5:     0.27 Mb/s In     5.98 Mb/s Out -    450.0 p/s In     505.0 p/s Out
  s1-eth6:     0.30 Mb/s In     6.62 Mb/s Out -    508.0 p/s In     559.0 p/s Out
1648366762 total:       22.43 Mb/s In    20.22 Mb/s Out -   3311.0 p/s In    2968.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     11.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.55 Mb/s In     0.28 Mb/s Out -    637.0 p/s In     470.0 p/s Out
  s1-eth2:     7.33 Mb/s In     0.26 Mb/s Out -    618.0 p/s In     434.0 p/s Out
  s1-eth3:     6.66 Mb/s In     0.24 Mb/s Out -    562.0 p/s In     410.0 p/s Out
  s1-eth4:     0.32 Mb/s In     7.00 Mb/s Out -    537.0 p/s In     591.0 p/s Out
  s1-eth5:     0.29 Mb/s In     6.52 Mb/s Out -    492.0 p/s In     550.0 p/s Out
  s1-eth6:     0.27 Mb/s In     5.92 Mb/s Out -    454.0 p/s In     499.0 p/s Out
1648366763 total:       23.18 Mb/s In    20.62 Mb/s Out -   3387.0 p/s In    3039.0 p/s Out
    ens4:     0.08 Mb/s In     0.05 Mb/s Out -     23.0 p/s In      27.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.06 Mb/s In     0.29 Mb/s Out -    680.0 p/s In     490.0 p/s Out
  s1-eth2:     6.73 Mb/s In     0.23 Mb/s Out -    568.0 p/s In     390.0 p/s Out
  s1-eth3:     7.42 Mb/s In     0.27 Mb/s Out -    626.0 p/s In     464.0 p/s Out
  s1-eth4:     0.32 Mb/s In     7.15 Mb/s Out -    540.0 p/s In     603.0 p/s Out
  s1-eth5:     0.25 Mb/s In     5.89 Mb/s Out -    430.0 p/s In     497.0 p/s Out
  s1-eth6:     0.31 Mb/s In     6.73 Mb/s Out -    520.0 p/s In     568.0 p/s Out
1648366764 total:       20.43 Mb/s In    19.01 Mb/s Out -   3013.0 p/s In    2872.0 p/s Out
    ens4:     0.01 Mb/s In     0.43 Mb/s Out -      7.0 p/s In     131.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     6.78 Mb/s In     0.26 Mb/s Out -    572.0 p/s In     435.0 p/s Out
  s1-eth2:     6.34 Mb/s In     0.24 Mb/s Out -    535.0 p/s In     397.0 p/s Out
  s1-eth3:     6.50 Mb/s In     0.24 Mb/s Out -    548.0 p/s In     404.0 p/s Out
  s1-eth4:     0.28 Mb/s In     6.19 Mb/s Out -    471.0 p/s In     522.0 p/s Out
  s1-eth5:     0.26 Mb/s In     5.67 Mb/s Out -    437.0 p/s In     478.0 p/s Out
  s1-eth6:     0.26 Mb/s In     5.99 Mb/s Out -    443.0 p/s In     505.0 p/s Out
1648366765 total:       23.69 Mb/s In    21.24 Mb/s Out -   3484.0 p/s In    3148.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.23 Mb/s In     0.30 Mb/s Out -    694.0 p/s In     510.0 p/s Out
  s1-eth2:     6.60 Mb/s In     0.24 Mb/s Out -    557.0 p/s In     413.0 p/s Out
  s1-eth3:     7.93 Mb/s In     0.29 Mb/s Out -    669.0 p/s In     496.0 p/s Out
  s1-eth4:     0.33 Mb/s In     7.37 Mb/s Out -    558.0 p/s In     622.0 p/s Out
  s1-eth5:     0.27 Mb/s In     5.92 Mb/s Out -    451.0 p/s In     499.0 p/s Out
  s1-eth6:     0.32 Mb/s In     7.10 Mb/s Out -    547.0 p/s In     599.0 p/s Out
1648366766 total:       22.63 Mb/s In    20.29 Mb/s Out -   3320.0 p/s In    2989.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     16.0 p/s In      18.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.32 Mb/s In     0.27 Mb/s Out -    617.0 p/s In     449.0 p/s Out
  s1-eth2:     7.35 Mb/s In     0.26 Mb/s Out -    620.0 p/s In     444.0 p/s Out
  s1-eth3:     7.08 Mb/s In     0.26 Mb/s Out -    597.0 p/s In     434.0 p/s Out
  s1-eth4:     0.29 Mb/s In     6.59 Mb/s Out -    489.0 p/s In     556.0 p/s Out
  s1-eth5:     0.29 Mb/s In     6.53 Mb/s Out -    494.0 p/s In     551.0 p/s Out
  s1-eth6:     0.29 Mb/s In     6.37 Mb/s Out -    487.0 p/s In     537.0 p/s Out
1648366767 total:       23.52 Mb/s In    20.90 Mb/s Out -   3467.0 p/s In    3108.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      17.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.24 Mb/s In     0.26 Mb/s Out -    611.0 p/s In     440.0 p/s Out
  s1-eth2:     7.53 Mb/s In     0.28 Mb/s Out -    635.0 p/s In     475.0 p/s Out
  s1-eth3:     7.82 Mb/s In     0.29 Mb/s Out -    660.0 p/s In     484.0 p/s Out
  s1-eth4:     0.29 Mb/s In     6.32 Mb/s Out -    482.0 p/s In     533.0 p/s Out
  s1-eth5:     0.31 Mb/s In     6.73 Mb/s Out -    523.0 p/s In     568.0 p/s Out
  s1-eth6:     0.32 Mb/s In     7.01 Mb/s Out -    543.0 p/s In     591.0 p/s Out
1648366768 total:       23.54 Mb/s In    21.07 Mb/s Out -   3473.0 p/s In    3118.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.47 Mb/s In     0.27 Mb/s Out -    630.0 p/s In     461.0 p/s Out
  s1-eth2:     6.89 Mb/s In     0.25 Mb/s Out -    581.0 p/s In     422.0 p/s Out
  s1-eth3:     8.25 Mb/s In     0.31 Mb/s Out -    696.0 p/s In     520.0 p/s Out
  s1-eth4:     0.31 Mb/s In     6.76 Mb/s Out -    524.0 p/s In     570.0 p/s Out
  s1-eth5:     0.28 Mb/s In     6.09 Mb/s Out -    468.0 p/s In     514.0 p/s Out
  s1-eth6:     0.33 Mb/s In     7.37 Mb/s Out -    565.0 p/s In     622.0 p/s Out
1648366769 total:       24.12 Mb/s In    21.74 Mb/s Out -   3552.0 p/s In    3192.0 p/s Out
    ens4:     0.00 Mb/s In     0.00 Mb/s Out -      4.0 p/s In       5.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.59 Mb/s In     0.28 Mb/s Out -    640.0 p/s In     468.0 p/s Out
  s1-eth2:     7.32 Mb/s In     0.26 Mb/s Out -    617.0 p/s In     437.0 p/s Out
  s1-eth3:     8.28 Mb/s In     0.31 Mb/s Out -    698.0 p/s In     520.0 p/s Out
  s1-eth4:     0.31 Mb/s In     6.83 Mb/s Out -    521.0 p/s In     576.0 p/s Out
  s1-eth5:     0.29 Mb/s In     6.51 Mb/s Out -    494.0 p/s In     549.0 p/s Out
  s1-eth6:     0.34 Mb/s In     7.55 Mb/s Out -    578.0 p/s In     637.0 p/s Out
1648366770 total:       25.73 Mb/s In    24.30 Mb/s Out -   3772.0 p/s In    3750.0 p/s Out
    ens4:     0.01 Mb/s In     1.12 Mb/s Out -     13.0 p/s In     350.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     8.76 Mb/s In     0.32 Mb/s Out -    739.0 p/s In     541.0 p/s Out
  s1-eth2:     7.86 Mb/s In     0.28 Mb/s Out -    663.0 p/s In     477.0 p/s Out
  s1-eth3:     8.11 Mb/s In     0.30 Mb/s Out -    684.0 p/s In     503.0 p/s Out
  s1-eth4:     0.35 Mb/s In     7.97 Mb/s Out -    590.0 p/s In     672.0 p/s Out
  s1-eth5:     0.31 Mb/s In     6.97 Mb/s Out -    530.0 p/s In     588.0 p/s Out
  s1-eth6:     0.33 Mb/s In     7.34 Mb/s Out -    553.0 p/s In     619.0 p/s Out
1648366771 total:       21.70 Mb/s In    19.53 Mb/s Out -   3202.0 p/s In    2891.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     10.0 p/s In      12.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.68 Mb/s In     0.29 Mb/s Out -    648.0 p/s In     484.0 p/s Out
  s1-eth2:     6.45 Mb/s In     0.25 Mb/s Out -    544.0 p/s In     415.0 p/s Out
  s1-eth3:     6.71 Mb/s In     0.24 Mb/s Out -    566.0 p/s In     398.0 p/s Out
  s1-eth4:     0.31 Mb/s In     6.85 Mb/s Out -    530.0 p/s In     578.0 p/s Out
  s1-eth5:     0.27 Mb/s In     5.89 Mb/s Out -    451.0 p/s In     497.0 p/s Out
  s1-eth6:     0.27 Mb/s In     6.01 Mb/s Out -    453.0 p/s In     507.0 p/s Out
1648366772 total:       22.45 Mb/s In    20.15 Mb/s Out -   3327.0 p/s In    2996.0 p/s Out
    ens4:     0.02 Mb/s In     0.02 Mb/s Out -     19.0 p/s In      25.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.23 Mb/s In     0.27 Mb/s Out -    610.0 p/s In     450.0 p/s Out
  s1-eth2:     6.82 Mb/s In     0.25 Mb/s Out -    575.0 p/s In     422.0 p/s Out
  s1-eth3:     7.50 Mb/s In     0.28 Mb/s Out -    633.0 p/s In     468.0 p/s Out
  s1-eth4:     0.30 Mb/s In     6.35 Mb/s Out -    499.0 p/s In     536.0 p/s Out
  s1-eth5:     0.28 Mb/s In     6.11 Mb/s Out -    469.0 p/s In     515.0 p/s Out
  s1-eth6:     0.31 Mb/s In     6.88 Mb/s Out -    522.0 p/s In     580.0 p/s Out
1648366773 total:       22.66 Mb/s In    20.53 Mb/s Out -   3335.0 p/s In    3003.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       8.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     6.18 Mb/s In     0.22 Mb/s Out -    521.0 p/s In     378.0 p/s Out
  s1-eth2:     7.90 Mb/s In     0.29 Mb/s Out -    666.0 p/s In     490.0 p/s Out
  s1-eth3:     7.69 Mb/s In     0.27 Mb/s Out -    649.0 p/s In     462.0 p/s Out
  s1-eth4:     0.26 Mb/s In     5.66 Mb/s Out -    432.0 p/s In     477.0 p/s Out
  s1-eth5:     0.32 Mb/s In     7.13 Mb/s Out -    540.0 p/s In     601.0 p/s Out
  s1-eth6:     0.31 Mb/s In     6.96 Mb/s Out -    520.0 p/s In     587.0 p/s Out
1648366774 total:       25.52 Mb/s In    23.87 Mb/s Out -   3788.0 p/s In    3640.0 p/s Out
    ens4:     0.01 Mb/s In     0.78 Mb/s Out -      8.0 p/s In     231.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.90 Mb/s In     0.29 Mb/s Out -    666.0 p/s In     490.0 p/s Out
  s1-eth2:     8.58 Mb/s In     0.32 Mb/s Out -    724.0 p/s In     544.0 p/s Out
  s1-eth3:     8.01 Mb/s In     0.30 Mb/s Out -    676.0 p/s In     504.0 p/s Out
  s1-eth4:     0.33 Mb/s In     7.15 Mb/s Out -    561.0 p/s In     603.0 p/s Out
  s1-eth5:     0.36 Mb/s In     7.85 Mb/s Out -    603.0 p/s In     662.0 p/s Out
  s1-eth6:     0.33 Mb/s In     7.18 Mb/s Out -    550.0 p/s In     606.0 p/s Out
1648366775 total:       23.21 Mb/s In    21.04 Mb/s Out -   3415.0 p/s In    3102.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       8.0 p/s Out
