1648367086 total:        0.02 Mb/s In     0.08 Mb/s Out -     32.0 p/s In     111.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       2.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       0.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       3.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       3.0 p/s Out
1648367089 total:        0.01 Mb/s In     0.03 Mb/s Out -     12.0 p/s In      19.0 p/s Out
    ens4:     0.01 Mb/s In     0.02 Mb/s Out -     12.0 p/s In      14.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       1.0 p/s Out
1648367090 total:        0.01 Mb/s In     0.02 Mb/s Out -     14.0 p/s In      26.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In       8.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       4.0 p/s Out
  s1-eth2:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       3.0 p/s Out
  s1-eth3:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       3.0 p/s Out
  s1-eth4:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       3.0 p/s Out
  s1-eth5:     0.00 Mb/s In     0.00 Mb/s Out -      1.0 p/s In       2.0 p/s Out
  s1-eth6:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       3.0 p/s Out
1648367091 total:       24.35 Mb/s In    24.81 Mb/s Out -   3794.0 p/s In    4235.0 p/s Out
    ens4:     0.02 Mb/s In     1.52 Mb/s Out -     15.0 p/s In     590.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.72 Mb/s In     0.34 Mb/s Out -    653.0 p/s In     580.0 p/s Out
  s1-eth2:     7.90 Mb/s In     0.35 Mb/s Out -    668.0 p/s In     588.0 p/s Out
  s1-eth3:     7.65 Mb/s In     0.34 Mb/s Out -    647.0 p/s In     579.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.34 Mb/s Out -    601.0 p/s In     627.0 p/s Out
  s1-eth5:     0.36 Mb/s In     7.58 Mb/s Out -    611.0 p/s In     646.0 p/s Out
  s1-eth6:     0.35 Mb/s In     7.33 Mb/s Out -    599.0 p/s In     625.0 p/s Out
1648367092 total:       27.89 Mb/s In    27.10 Mb/s Out -   4363.0 p/s In    4240.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In      11.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.90 Mb/s In     0.45 Mb/s Out -    835.0 p/s In     767.0 p/s Out
  s1-eth2:     8.56 Mb/s In     0.39 Mb/s Out -    722.0 p/s In     652.0 p/s Out
  s1-eth3:     8.18 Mb/s In     0.37 Mb/s Out -    690.0 p/s In     627.0 p/s Out
  s1-eth4:     0.47 Mb/s In     9.70 Mb/s Out -    787.0 p/s In     818.0 p/s Out
  s1-eth5:     0.40 Mb/s In     8.32 Mb/s Out -    675.0 p/s In     702.0 p/s Out
  s1-eth6:     0.38 Mb/s In     7.86 Mb/s Out -    645.0 p/s In     663.0 p/s Out
1648367093 total:       28.64 Mb/s In    27.77 Mb/s Out -   4480.0 p/s In    4349.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       7.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.91 Mb/s In     0.45 Mb/s Out -    836.0 p/s In     763.0 p/s Out
  s1-eth2:     7.64 Mb/s In     0.35 Mb/s Out -    644.0 p/s In     585.0 p/s Out
  s1-eth3:     9.80 Mb/s In     0.45 Mb/s Out -    827.0 p/s In     758.0 p/s Out
  s1-eth4:     0.46 Mb/s In     9.63 Mb/s Out -    782.0 p/s In     812.0 p/s Out
  s1-eth5:     0.36 Mb/s In     7.33 Mb/s Out -    604.0 p/s In     618.0 p/s Out
  s1-eth6:     0.46 Mb/s In     9.56 Mb/s Out -    780.0 p/s In     806.0 p/s Out
1648367094 total:       30.10 Mb/s In    29.08 Mb/s Out -   4723.0 p/s In    4582.0 p/s Out
    ens4:     0.11 Mb/s In     0.05 Mb/s Out -     36.0 p/s In      36.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.82 Mb/s In     0.46 Mb/s Out -    828.0 p/s In     770.0 p/s Out
  s1-eth2:     8.84 Mb/s In     0.39 Mb/s Out -    746.0 p/s In     665.0 p/s Out
  s1-eth3:     9.98 Mb/s In     0.46 Mb/s Out -    842.0 p/s In     772.0 p/s Out
  s1-eth4:     0.47 Mb/s In     9.64 Mb/s Out -    793.0 p/s In     813.0 p/s Out
  s1-eth5:     0.41 Mb/s In     8.44 Mb/s Out -    689.0 p/s In     712.0 p/s Out
  s1-eth6:     0.47 Mb/s In     9.65 Mb/s Out -    789.0 p/s In     814.0 p/s Out
1648367095 total:       29.50 Mb/s In    28.65 Mb/s Out -   4625.0 p/s In    4469.0 p/s Out
    ens4:     0.03 Mb/s In     0.01 Mb/s Out -     13.0 p/s In      11.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.64 Mb/s In     0.43 Mb/s Out -    813.0 p/s In     730.0 p/s Out
  s1-eth2:     8.74 Mb/s In     0.40 Mb/s Out -    737.0 p/s In     670.0 p/s Out
  s1-eth3:     9.77 Mb/s In     0.44 Mb/s Out -    824.0 p/s In     750.0 p/s Out
  s1-eth4:     0.45 Mb/s In     9.33 Mb/s Out -    756.0 p/s In     787.0 p/s Out
  s1-eth5:     0.41 Mb/s In     8.49 Mb/s Out -    697.0 p/s In     716.0 p/s Out
  s1-eth6:     0.46 Mb/s In     9.54 Mb/s Out -    785.0 p/s In     805.0 p/s Out
1648367096 total:       25.64 Mb/s In    24.96 Mb/s Out -   4023.0 p/s In    3904.0 p/s Out
    ens4:     0.00 Mb/s In     0.01 Mb/s Out -      6.0 p/s In       6.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.47 Mb/s In     0.34 Mb/s Out -    631.0 p/s In     582.0 p/s Out
  s1-eth2:     8.36 Mb/s In     0.37 Mb/s Out -    706.0 p/s In     633.0 p/s Out
  s1-eth3:     8.66 Mb/s In     0.40 Mb/s Out -    731.0 p/s In     669.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.24 Mb/s Out -    602.0 p/s In     612.0 p/s Out
  s1-eth5:     0.39 Mb/s In     8.12 Mb/s Out -    655.0 p/s In     686.0 p/s Out
  s1-eth6:     0.41 Mb/s In     8.48 Mb/s Out -    692.0 p/s In     716.0 p/s Out
1648367097 total:       26.57 Mb/s In    27.05 Mb/s Out -   4159.0 p/s In    4389.0 p/s Out
    ens4:     0.01 Mb/s In     1.30 Mb/s Out -     11.0 p/s In     375.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.71 Mb/s In     0.35 Mb/s Out -    650.0 p/s In     588.0 p/s Out
  s1-eth2:     8.12 Mb/s In     0.37 Mb/s Out -    685.0 p/s In     623.0 p/s Out
  s1-eth3:     9.54 Mb/s In     0.43 Mb/s Out -    805.0 p/s In     728.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.37 Mb/s Out -    603.0 p/s In     622.0 p/s Out
  s1-eth5:     0.38 Mb/s In     7.94 Mb/s Out -    650.0 p/s In     670.0 p/s Out
  s1-eth6:     0.45 Mb/s In     9.28 Mb/s Out -    755.0 p/s In     783.0 p/s Out
1648367098 total:       27.57 Mb/s In    26.67 Mb/s Out -   4309.0 p/s In    4191.0 p/s Out
    ens4:     0.03 Mb/s In     0.01 Mb/s Out -     10.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.21 Mb/s In     0.42 Mb/s Out -    777.0 p/s In     718.0 p/s Out
  s1-eth2:     7.33 Mb/s In     0.34 Mb/s Out -    618.0 p/s In     569.0 p/s Out
  s1-eth3:     9.77 Mb/s In     0.44 Mb/s Out -    824.0 p/s In     743.0 p/s Out
  s1-eth4:     0.44 Mb/s In     8.96 Mb/s Out -    736.0 p/s In     758.0 p/s Out
  s1-eth5:     0.34 Mb/s In     7.13 Mb/s Out -    581.0 p/s In     602.0 p/s Out
  s1-eth6:     0.45 Mb/s In     9.37 Mb/s Out -    763.0 p/s In     792.0 p/s Out
1648367099 total:       28.55 Mb/s In    27.83 Mb/s Out -   4483.0 p/s In    4377.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In       7.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.78 Mb/s In     0.45 Mb/s Out -    826.0 p/s In     757.0 p/s Out
  s1-eth2:     7.73 Mb/s In     0.36 Mb/s Out -    652.0 p/s In     616.0 p/s Out
  s1-eth3:     9.75 Mb/s In     0.44 Mb/s Out -    823.0 p/s In     748.0 p/s Out
  s1-eth4:     0.46 Mb/s In     9.53 Mb/s Out -    776.0 p/s In     807.0 p/s Out
  s1-eth5:     0.37 Mb/s In     7.57 Mb/s Out -    622.0 p/s In     642.0 p/s Out
  s1-eth6:     0.46 Mb/s In     9.46 Mb/s Out -    775.0 p/s In     800.0 p/s Out
1648367100 total:       29.51 Mb/s In    28.44 Mb/s Out -   4604.0 p/s In    4461.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.78 Mb/s In     0.44 Mb/s Out -    825.0 p/s In     745.0 p/s Out
  s1-eth2:     8.63 Mb/s In     0.38 Mb/s Out -    729.0 p/s In     650.0 p/s Out
  s1-eth3:     9.78 Mb/s In     0.45 Mb/s Out -    825.0 p/s In     763.0 p/s Out
  s1-eth4:     0.45 Mb/s In     9.39 Mb/s Out -    767.0 p/s In     793.0 p/s Out
  s1-eth5:     0.40 Mb/s In     8.28 Mb/s Out -    674.0 p/s In     699.0 p/s Out
  s1-eth6:     0.46 Mb/s In     9.49 Mb/s Out -    777.0 p/s In     802.0 p/s Out
1648367101 total:       28.05 Mb/s In    27.14 Mb/s Out -   4397.0 p/s In    4265.0 p/s Out
    ens4:     0.10 Mb/s In     0.06 Mb/s Out -     35.0 p/s In      31.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.72 Mb/s In     0.45 Mb/s Out -    820.0 p/s In     758.0 p/s Out
  s1-eth2:     7.30 Mb/s In     0.34 Mb/s Out -    616.0 p/s In     568.0 p/s Out
  s1-eth3:     9.67 Mb/s In     0.43 Mb/s Out -    816.0 p/s In     726.0 p/s Out
  s1-eth4:     0.46 Mb/s In     9.47 Mb/s Out -    777.0 p/s In     799.0 p/s Out
  s1-eth5:     0.35 Mb/s In     7.11 Mb/s Out -    587.0 p/s In     600.0 p/s Out
  s1-eth6:     0.44 Mb/s In     9.28 Mb/s Out -    746.0 p/s In     783.0 p/s Out
1648367102 total:       26.71 Mb/s In    25.97 Mb/s Out -   4193.0 p/s In    4104.0 p/s Out
    ens4:     0.07 Mb/s In     0.15 Mb/s Out -     23.0 p/s In      52.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.59 Mb/s In     0.36 Mb/s Out -    640.0 p/s In     601.0 p/s Out
  s1-eth2:     7.98 Mb/s In     0.36 Mb/s Out -    673.0 p/s In     609.0 p/s Out
  s1-eth3:     9.88 Mb/s In     0.45 Mb/s Out -    833.0 p/s In     762.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.42 Mb/s Out -    609.0 p/s In     626.0 p/s Out
  s1-eth5:     0.37 Mb/s In     7.73 Mb/s Out -    624.0 p/s In     652.0 p/s Out
  s1-eth6:     0.47 Mb/s In     9.51 Mb/s Out -    791.0 p/s In     802.0 p/s Out
1648367103 total:       28.29 Mb/s In    28.23 Mb/s Out -   4430.0 p/s In    4519.0 p/s Out
    ens4:     0.01 Mb/s In     0.78 Mb/s Out -      8.0 p/s In     228.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.54 Mb/s In     0.43 Mb/s Out -    805.0 p/s In     721.0 p/s Out
  s1-eth2:     9.15 Mb/s In     0.42 Mb/s Out -    772.0 p/s In     715.0 p/s Out
  s1-eth3:     8.31 Mb/s In     0.38 Mb/s Out -    701.0 p/s In     644.0 p/s Out
  s1-eth4:     0.44 Mb/s In     9.22 Mb/s Out -    746.0 p/s In     778.0 p/s Out
  s1-eth5:     0.44 Mb/s In     8.87 Mb/s Out -    735.0 p/s In     748.0 p/s Out
  s1-eth6:     0.39 Mb/s In     8.12 Mb/s Out -    663.0 p/s In     685.0 p/s Out
1648367104 total:       29.70 Mb/s In    28.86 Mb/s Out -   4661.0 p/s In    4546.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      9.0 p/s In       9.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.54 Mb/s In     0.45 Mb/s Out -    805.0 p/s In     754.0 p/s Out
  s1-eth2:     9.70 Mb/s In     0.44 Mb/s Out -    818.0 p/s In     745.0 p/s Out
  s1-eth3:     9.12 Mb/s In     0.42 Mb/s Out -    769.0 p/s In     715.0 p/s Out
  s1-eth4:     0.45 Mb/s In     9.27 Mb/s Out -    768.0 p/s In     782.0 p/s Out
  s1-eth5:     0.45 Mb/s In     9.38 Mb/s Out -    757.0 p/s In     791.0 p/s Out
  s1-eth6:     0.44 Mb/s In     8.89 Mb/s Out -    735.0 p/s In     750.0 p/s Out
1648367105 total:       24.56 Mb/s In    23.81 Mb/s Out -   3848.0 p/s In    3740.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -     10.0 p/s In      10.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.46 Mb/s In     0.35 Mb/s Out -    629.0 p/s In     585.0 p/s Out
  s1-eth2:     8.41 Mb/s In     0.38 Mb/s Out -    709.0 p/s In     637.0 p/s Out
  s1-eth3:     7.59 Mb/s In     0.35 Mb/s Out -    640.0 p/s In     591.0 p/s Out
  s1-eth4:     0.35 Mb/s In     7.27 Mb/s Out -    597.0 p/s In     613.0 p/s Out
  s1-eth5:     0.39 Mb/s In     8.16 Mb/s Out -    662.0 p/s In     688.0 p/s Out
  s1-eth6:     0.36 Mb/s In     7.30 Mb/s Out -    601.0 p/s In     616.0 p/s Out
1648367106 total:       25.20 Mb/s In    24.37 Mb/s Out -   3918.0 p/s In    3791.0 p/s Out
    ens4:     0.01 Mb/s In     0.00 Mb/s Out -      7.0 p/s In       6.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.73 Mb/s In     0.35 Mb/s Out -    652.0 p/s In     587.0 p/s Out
  s1-eth2:     8.24 Mb/s In     0.37 Mb/s Out -    695.0 p/s In     626.0 p/s Out
  s1-eth3:     8.11 Mb/s In     0.36 Mb/s Out -    684.0 p/s In     608.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.52 Mb/s Out -    603.0 p/s In     634.0 p/s Out
  s1-eth5:     0.38 Mb/s In     7.93 Mb/s Out -    645.0 p/s In     669.0 p/s Out
  s1-eth6:     0.37 Mb/s In     7.84 Mb/s Out -    632.0 p/s In     661.0 p/s Out
1648367107 total:       28.84 Mb/s In    29.29 Mb/s Out -   4526.0 p/s In    4768.0 p/s Out
    ens4:     0.01 Mb/s In     1.36 Mb/s Out -     11.0 p/s In     395.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.16 Mb/s In     0.41 Mb/s Out -    773.0 p/s In     693.0 p/s Out
  s1-eth2:     9.52 Mb/s In     0.44 Mb/s Out -    803.0 p/s In     742.0 p/s Out
  s1-eth3:     8.84 Mb/s In     0.41 Mb/s Out -    746.0 p/s In     688.0 p/s Out
  s1-eth4:     0.43 Mb/s In     8.83 Mb/s Out -    725.0 p/s In     745.0 p/s Out
  s1-eth5:     0.45 Mb/s In     9.28 Mb/s Out -    765.0 p/s In     783.0 p/s Out
  s1-eth6:     0.42 Mb/s In     8.56 Mb/s Out -    703.0 p/s In     722.0 p/s Out
1648367108 total:       27.72 Mb/s In    26.89 Mb/s Out -   4353.0 p/s In    4228.0 p/s Out
    ens4:     0.00 Mb/s In     0.00 Mb/s Out -      5.0 p/s In       5.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.50 Mb/s In     0.44 Mb/s Out -    801.0 p/s In     741.0 p/s Out
  s1-eth2:     9.58 Mb/s In     0.44 Mb/s Out -    808.0 p/s In     745.0 p/s Out
  s1-eth3:     7.39 Mb/s In     0.34 Mb/s Out -    623.0 p/s In     572.0 p/s Out
  s1-eth4:     0.45 Mb/s In     9.22 Mb/s Out -    761.0 p/s In     778.0 p/s Out
  s1-eth5:     0.46 Mb/s In     9.32 Mb/s Out -    771.0 p/s In     786.0 p/s Out
  s1-eth6:     0.35 Mb/s In     7.13 Mb/s Out -    584.0 p/s In     601.0 p/s Out
1648367109 total:       26.49 Mb/s In    25.69 Mb/s Out -   4143.0 p/s In    4012.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In       8.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     7.62 Mb/s In     0.34 Mb/s Out -    643.0 p/s In     579.0 p/s Out
  s1-eth2:     9.85 Mb/s In     0.45 Mb/s Out -    831.0 p/s In     754.0 p/s Out
  s1-eth3:     7.82 Mb/s In     0.36 Mb/s Out -    660.0 p/s In     602.0 p/s Out
  s1-eth4:     0.36 Mb/s In     7.34 Mb/s Out -    600.0 p/s In     619.0 p/s Out
  s1-eth5:     0.46 Mb/s In     9.59 Mb/s Out -    780.0 p/s In     809.0 p/s Out
  s1-eth6:     0.37 Mb/s In     7.60 Mb/s Out -    621.0 p/s In     641.0 p/s Out
1648367110 total:       28.42 Mb/s In    27.69 Mb/s Out -   4468.0 p/s In    4338.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      7.0 p/s In       7.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.44 Mb/s In     0.42 Mb/s Out -    796.0 p/s In     714.0 p/s Out
  s1-eth2:     9.66 Mb/s In     0.45 Mb/s Out -    815.0 p/s In     766.0 p/s Out
  s1-eth3:     8.03 Mb/s In     0.37 Mb/s Out -    677.0 p/s In     621.0 p/s Out
  s1-eth4:     0.44 Mb/s In     9.16 Mb/s Out -    743.0 p/s In     773.0 p/s Out
  s1-eth5:     0.47 Mb/s In     9.46 Mb/s Out -    788.0 p/s In     798.0 p/s Out
  s1-eth6:     0.38 Mb/s In     7.81 Mb/s Out -    642.0 p/s In     659.0 p/s Out
1648367111 total:       29.16 Mb/s In    29.15 Mb/s Out -   4577.0 p/s In    4673.0 p/s Out
    ens4:     0.01 Mb/s In     0.85 Mb/s Out -     10.0 p/s In     246.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.83 Mb/s In     0.45 Mb/s Out -    829.0 p/s In     754.0 p/s Out
  s1-eth2:     9.75 Mb/s In     0.45 Mb/s Out -    822.0 p/s In     760.0 p/s Out
  s1-eth3:     8.26 Mb/s In     0.37 Mb/s Out -    697.0 p/s In     633.0 p/s Out
  s1-eth4:     0.46 Mb/s In     9.57 Mb/s Out -    783.0 p/s In     807.0 p/s Out
  s1-eth5:     0.46 Mb/s In     9.46 Mb/s Out -    779.0 p/s In     798.0 p/s Out
  s1-eth6:     0.39 Mb/s In     8.00 Mb/s Out -    657.0 p/s In     675.0 p/s Out
1648367112 total:       30.23 Mb/s In    29.38 Mb/s Out -   4748.0 p/s In    4621.0 p/s Out
    ens4:     0.01 Mb/s In     0.01 Mb/s Out -      8.0 p/s In       8.0 p/s Out
  ovs-system:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
      s1:     0.00 Mb/s In     0.00 Mb/s Out -      0.0 p/s In       0.0 p/s Out
  s1-eth1:     9.52 Mb/s In     0.44 Mb/s Out -    803.0 p/s In     740.0 p/s Out
  s1-eth2:     9.95 Mb/s In     0.46 Mb/s Out -    839.0 p/s In     779.0 p/s Out
  s1-eth3:     9.39 Mb/s In     0.43 Mb/s Out -    792.0 p/s In     729.0 p/s Out
  s1-eth4:     0.45 Mb/s In     9.31 Mb/s Out -    763.0 p/s In     785.0 p/s Out
  s1-eth5:     0.47 Mb/s In     9.62 Mb/s Out -    794.0 p/s In     811.0 p/s Out
  s1-eth6:     0.44 Mb/s In     9.12 Mb/s Out -    749.0 p/s In     769.0 p/s Out
1648367113 total:       28.37 Mb/s In    29.09 Mb/s Out -   4454.0 p/s In    4759.0 p/s Out
    ens4:     0.01 Mb/s In     1.43 Mb/s Out -      7.0 p/s In     414.0 p/s Out
